,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,v_cm_s,depth,conc,duration,material,flowrate,ustar_smooth,shearstress_pa,input_perc_ss
0,C022400T,224,0,,,1.6,17.4,41,17.9,17.9,14,,,,,sc,,,,0.5
1,C022405T,224,5,,1,23.5,64.9,64.9,28.3,26.5,16.7,5,35,1653.46,120,sc,310.46,0.35,0.01,0.5
2,C022410T,224,10,,1.4,17,40.5,43.4,20.5,19.7,15.4,5,35,1653.46,120,sc,310.46,0.35,0.01,0.5
3,C022415T,224,15,,1.4,14.3,24.5,30.3,20.1,20.1,14.9,5,35,1653.46,120,sc,310.46,0.35,0.01,0.5
4,C022420T,224,20,,1.1,12,22,32,17.1,18.4,14.1,5,35,1653.46,120,sc,310.46,0.35,0.01,0.5
5,C022500T,225,0,,,3.6,25,48.2,24,24.4,15,,,,,sc,,,,0.5
6,C022505T,225,5,,2.8,29.6,51,64.9,34.9,33,20.5,14.7,35,494.85,120,sc,905.32,0.87,0.08,0.5
7,C022510T,225,10,,1.4,22.5,57.9,57.9,25.8,24.2,15.4,14.7,35,494.85,120,sc,905.32,0.87,0.08,0.5
8,C022515T,225,15,0.9,5.5,26.4,42.8,55.1,30.3,28.5,18,14.7,35,494.85,120,sc,905.32,0.87,0.08,0.5
9,C022520T,225,20,,5.7,24.4,40.3,56.4,27.6,27,18.5,14.7,35,494.85,120,sc,905.32,0.87,0.08,0.5
10,C022525T,225,25,,5.6,21,36,44.5,26,24.4,15.6,14.7,35,494.85,120,sc,905.32,0.87,0.08,0.5
11,C022600T,226,0,,,3.6,26,49.1,22.4,22.3,14.5,,,,,sc,,,,0.5
12,C022605T,226,5,,,24.2,43.9,54.1,33.4,31.4,19.5,10.2,35,916.84,120,sc,615.04,0.62,0.04,0.5
13,C022610T,226,10,,,19.5,64.9,64.9,24.5,24.2,16.2,10.2,35,916.84,120,sc,615.04,0.62,0.04,0.5
14,C022615T,226,15,,4.2,22.2,42.9,64.9,26.2,25.9,17.1,10.2,35,916.84,120,sc,615.04,0.62,0.04,0.5
15,C022620T,226,20,,5.9,19.9,34.7,44.7,24.2,24,16,10.2,35,916.84,120,sc,615.04,0.62,0.04,0.5
16,C022625T,226,25,,1.8,19.2,33,40.6,24.8,24.7,16.3,10.2,35,916.84,120,sc,615.04,0.62,0.04,0.5
17,C022700T,227,0,,,2.5,20.2,55,21.1,22.5,14.9,,,,,sc,,,,0.5
18,C022705T,227,5,,3.8,32.1,52.8,64.9,35.5,32.5,17.4,19.5,36,409.49,120,sc,"1,203.93",1.09,0.12,0.5
19,C022710T,227,10,0.82,8.3,33.3,52.2,64.9,35.4,32.8,19.2,19.5,36,409.49,120,sc,"1,203.93",1.09,0.12,0.5
20,C022715T,227,15,,3.8,28.3,45.9,56.2,33,30.5,17.2,19.5,35,409.49,120,sc,"1,203.93",1.12,0.13,0.5
21,C022720T,227,20,,8,29.5,46.4,57.7,33.2,31.5,20,19.5,34,409.49,120,sc,"1,203.93",1.15,0.13,0.5
22,C022725T,227,25,,9.6,27.3,44.1,64.9,29.1,27.9,18.1,19.5,33,409.49,120,sc,"1,203.93",1.19,0.14,0.5
23,C022800T,228,0,,,3.7,25.2,44.5,24,23.8,14.9,,,,,sc,,,,0.5
24,C022805T,228,5,,,16.3,57.2,64.9,39.8,35.5,17.9,24.7,36,328.18,120,sc,"1,577.72",1.38,0.19,0.5
25,C022810T,228,10,,2.4,28.3,56.6,64.9,36.7,33.3,17.2,24.7,36,328.18,120,sc,"1,577.72",1.38,0.19,0.5
