Column Header,Description
Sample,Unique sample ID
date,MMDD
location,Distance from inlet in [ft]
d5_micron,d5 of the sampled bed material in [microns]
d16_micron,d16 of the sampled bed material in [microns]
d50_micron,d50 of the sampled bed material in [microns]
d84_micron,d84 of the sampled bed material in [microns]
d95_micron,d95 of the sampled bed material in [microns]
SS_d50_micron,d50 of the SS fraction of bed material in [microns]
SS_mean_micron,Mean sortable silt of the bed material in [microns] by volume
SS_mean_num_micron,Mean sortable silt of the bed material in [microns] by particle number
depth_mm,Flow depth at that location in [mm]
v_cm_s,Average flow velocity in [cm/s]
conc,Concentration of suspended sediment at the inlet in [mg/l]
duration,Experiment run time in [minutes]
