,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,velocity,depth_mm,v_cm_s,conc,duration
57,C092605E,926,5,,,27.5,48.4,63.1,33.4,31.6,19.8,13.35,23,14.3,983,120
58,C092610E,926,10,,,21.5,38.2,47.4,28,27,17.5,13.35,23,14.3,983,120
59,C092615E,926,15,,,19.1,33.7,43,25.6,25,16.9,14.97,20.5,14.3,983,120
60,C092620E,926,20,,,17.7,30.2,37.3,22.9,22,16.3,14.62,21,14.3,983,120
61,C092625E,926,25,,,17.8,29,36.9,22.3,22.3,16.2,15.35,20,14.3,983,120
73,C101505E,1015,5,,12.4,30.4,45.8,56.3,32.5,30.9,19.3,13.31,23,14.5,481,120
74,C101515E,1015,15,,,19.4,34.1,42.9,24.7,23.7,16.7,14.57,21,14.5,481,120
75,C101525E,1015,25,,,16.1,27.2,35,20.2,20,15.3,16.54,18.5,14.5,481,120
76,C101805E,1018,5,0.9,15.9,30.6,47.4,60.7,31.8,30.7,20.6,13.32,23,14.5,497,120
77,C101810E,1018,10,,,22.4,39.3,49.8,27.9,27.1,17.5,13.32,23,14.5,497,120
78,C101815E,1018,15,,,19.3,34.3,44.9,24.6,24.6,17.2,14.58,21,14.5,497,120
79,C101820E,1018,20,,,17.1,30.4,42.4,21.5,21.7,15.7,14.58,21,14.5,497,120
80,C101825E,1018,25,,,16.8,28.8,39.4,20.5,20.8,15.5,16.55,18.5,14.5,497,120
