,Sample,date,location,d5_micron,d16_micron,d50_micron,d84_micron,d95_micron,SS_d50_micron,SS_mean_micron,SS_mean_num_micron,depth_mm,v_cm_s,conc,duration
76,C101805E,1018,5,0.9,15.9,30.6,47.4,60.7,31.8,30.7,20.6,23,14.5,497,120
77,C101810E,1018,10,,,22.4,39.3,49.8,27.9,27.1,17.5,23,14.5,497,120
78,C101815E,1018,15,,,19.3,34.3,44.9,24.6,24.6,17.2,21,14.5,497,120
79,C101820E,1018,20,,,17.1,30.4,42.4,21.5,21.7,15.7,21,14.5,497,120
80,C101825E,1018,25,,,16.8,28.8,39.4,20.5,20.8,15.5,18.5,14.5,497,120
82,C102905E,1029,5,7.8,21.5,35.3,51.1,64.9,34.7,32.7,20.4,36,14.9,491,120
83,C102910E,1029,10,8.4,18.2,34.2,61.3,61.3,29,27.9,19.5,36,14.9,491,120
84,C102915E,1029,15,11.3,16.9,27.9,43.2,61.3,27.1,26.2,17.6,34,14.9,491,120
85,C102920E,1029,20,12.1,15.9,26.9,39,46.5,27.4,26.2,18,34,14.9,491,120
86,C102925E,1029,25,8.4,15.3,24.7,36.4,53,25.1,24.7,18,34,14.9,491,120
87,C110405E,1104,5,,3.9,33.9,52.3,64.9,36.1,33.8,22,46,15,500,120
88,C110410E,1104,10,6,19.3,33.7,49.5,58.6,34.5,32.8,21.6,47,15,500,120
89,C110415E,1104,15,12,19.1,31.3,47,62.7,31.1,29.9,19.3,45,15,500,120
90,C110420E,1104,20,12.3,16.3,29.5,57.9,57.9,25.4,24.2,16.6,46,15,500,120
91,C110425E,1104,25,6.4,16.3,26.2,38.5,46.4,27.6,27.2,18.7,45,15,500,120
